fecha,clave
2026-08-11,visor_arg_1
2026-08-11,visor_rf_2
2026-08-11,visor_arg_2
2026-08-11,visor_rf_3
2026-08-11,visor_rf_4
2026-08-11,visor_arg_3
2026-08-11,visor_bcra
2026-08-12,visor_arg_1
2026-08-12,visor_rf_2
2026-08-12,visor_arg_2
2026-08-12,visor_rf_3
2026-08-12,visor_rf_4
2026-08-12,visor_arg_3
2026-08-12,visor_bcra
2026-08-13,visor_arg_1
2026-08-13,visor_rf_2
2026-08-13,visor_arg_2
2026-08-13,visor_rf_3
2026-08-13,visor_rf_4
2026-08-13,visor_arg_3
2026-08-13,visor_bcra
2026-08-14,visor_rf_1
2026-08-14,visor_arg_1
2026-08-14,visor_rf_2
